embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
gloveWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",consecutive,round,row,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
gloveWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",april,death,march,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
gloveWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",'m,kid,fan,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
gloveWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sitting,watch,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
gloveWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",zealand,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
gloveWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",vinegar,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
gloveWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plastic,tube,bottle,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
gloveWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",second,death,round,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
gloveWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",mars,moon,mercury,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
gloveWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",humpback,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
word2vecWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",researcher,mammoth,scientist,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
word2vecWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
word2vecWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dog,cat,bark,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
word2vecWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",otter,robin,shark,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
word2vecWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",nz,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
word2vecWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",apricot,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
word2vecWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",carboy,tube,bottle,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
word2vecWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",heel,calf,shoe,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
word2vecWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",raven,robin,unicorn,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
word2vecWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
babelnetWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sport,row,field,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
babelnetWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",someone,shadow,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
babelnetWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",business,suit,pyramid,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
babelnetWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",person,millionaire,shark,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
babelnetWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",unit,foot,staff,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
babelnetWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fruit,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
babelnetWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fruit,olive,pit,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
babelnetWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",common,green,turkey,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
babelnetWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cabinet,lock,chest,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
babelnetWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",entity,figure,table,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
